(The) Interpreter Magazine,www.interpretermag.com,-8,HIGH
1600 Daily,www.whitehouse.gov,26,MIXED
2ndVote,2ndvote.com,29,MIXED
680 News,www.680news.com,-3,HIGH
71 Republic,71republic.com,15,HIGH
9 News (Australia),www.9news.com.au,6,HIGH
ABC News Australia,www.abc.net.au,-4,HIGH
ABC News,abcnews.go.com,-13,HIGH
ABC11 Eyewitness News,abc11.com,-11,HIGH
Above the Law,abovethelaw.com,-9,HIGH
ABS-CBN News,news.abs-cbn.com,-5,HIGH
Acculturated,acculturated.com,24,HIGH
Accuracy in Academia (AIA),www.academia.org,28,MIXED
Accuracy in Media (AIM),www.aim.org,30,MIXED
Act.TV,act.tv,-26,HIGH
Acting Man,www.acting-man.com,24,MIXED
Addicting Info,addictinginfo.com,-25,MIXED
Advocate,www.advocate.com,-22,HIGH
Aeon,aeon.co,-10,HIGH
Affinity Magazine,affinitymagazine.us,-15,MIXED
AFP (Agence France Presse),www.afp.com,-5,HIGH
Africa News,www.africanews.com,-2,HIGH
African Arguments,africanarguments.org,-12,HIGH
Against Crony Capitialism,www.ac2news.com,24,MIXED
Agerpres,www.agerpres.ro,-1,HIGH
Ahram Online,english.ahram.org.eg,-2,HIGH
Airwars,airwars.org,-1,HIGH
Akkadian Times,akkadiantimes.com,-22,HIGH
Akron Beacon Journal,www.ohio.com,-9,HIGH
Al Arabiya,english.alarabiya.net,-3,HIGH
Al Bawaba,www.albawaba.com,-3,HIGH
Al Jazeera,www.aljazeera.com,-8,HIGH
Al Majalla,eng.majalla.com,-4,HIGH
Al Monitor,www.al-monitor.com,-13,HIGH
Al-Hayat,www.alhayat.com,-13,HIGH
Al-Masdar News (AMN),www.almasdarnews.com,-13,MIXED
Al-Sura,al-sura.com,-11,MIXED
AL.com (Alabama News),www.al.com,13,HIGH
Alabama Political Reporter,www.alreporter.com,1,HIGH
Alabama Today,altoday.com,-2,HIGH
Alan Guttmacher Institute,www.guttmacher.org,-12,HIGH
Alaska Dispatch News,www.adn.com,-10,HIGH
Albany Democrat Herald,democratherald.com,-2,HIGH
Albany Times-Union,www.timesunion.com,-8,HIGH
Albuquerque Journal,www.abqjournal.com,-5,HIGH
All That’s Fab,www.allthatsfab.com,-28,MIXED
Allen B. West,www.allenbwest.com,29,MIXED
AllGov,www.allgov.com,-1,VERY HIGH
Alliance for Justice (AFJ),www.afj.org,-22,HIGH
Alliance for Securing Democracy,securingdemocracy.gmfus.org,2,HIGH
Allied Progress,alliedprogress.org,-16,HIGH
Alpha News,alphanewsmn.com,24,MIXED
AlterNet,www.alternet.org,-28,MIXED
AltNewsMedia.net,altnewsmedia.net,24,HIGH
AM New York,www.amny.com,-13,HIGH
Amandla,aidc.org.za,-23,HIGH
America Magazine,www.americamagazine.org,-8,HIGH
AmericaBlog,americablog.com,-23,HIGH
American Action Forum,www.americanactionforum.org,14,HIGH
American Bridge 21st Century,americanbridgepac.org,-25,MIXED
American Center for Law and Justice (ACLJ),aclj.org,30,MIXED
American Civil Liberties Union (ACLU),www.aclu.org,-10,HIGH
American Consequences,americanconsequences.com,24,MIXED
American Council on Science and Health,acsh.org,9,HIGH
American Enterprise Institute,www.aei.org,21,MIXED
American Firearms Institute,www.americanfirearms.org,13,HIGH
American Foreign Policy Council (AFPC),www.afpc.org,10,HIGH
American Greatness,amgreatness.com,22,MIXED
American Herald Tribune,ahtribune.com,-12,MIXED
American Heritage,www.americanheritage.com,1,HIGH
